Aalénien_N	aalénien_A
Aizac_X	aizacois_A
Aizac_X	aizacoise_A
Aizanville_X	Aizanvillois_N
Aizanville_X	Aizanvilloise_N
Aizanville_X	aizanvillois_A
Aizanville_X	aizanvilloise_A
Aizelles_X	Aizellois_N
Aizelles_X	Aizelloise_N
Aizelles_X	aizellois_A
Aizelles_X	aizelloise_A
Aizenay_X	Agezynate_N
Aizenay_X	Agérinate_N
Aizenay_X	Agésinate_N
Aizenay_X	agezynate_A
Aizenay_X	agérinate_A
Aizenay_X	agésinate_A
Aizier_X	Aiziérois_N
Aizier_X	Aiziéroise_N
Aizier_X	aiziérois_A
Aizier_X	aiziéroise_A
Ajac_X	Ajacois_N
Ajac_X	Ajacoise_N
Ajac_X	ajacois_A
Ajac_X	ajacoise_A
Ajat_X	Ajacois_N
Ajat_X	Ajacoise_N
Ajat_X	ajacois_A
Ajat_X	ajacoise_A
Ajou_X	Ajoucien_N
Ajou_X	Ajoucienne_N
Ajou_X	ajoucien_A
Ajoux_X	Ajouxois_N
Ajoux_X	Ajouxoise_N
Ajoux_X	ajouxois_A
Ajoux_X	ajouxoise_A
Aka_N	aka_X
Alaigne_X	Alaignois_N
Alaigne_X	Alaignoise_N
Alaigne_X	alaignois_A
Alaigne_X	alaignoise_A
Alaincourt_X	Alaincourtois_N
Alaincourt_X	Alaincourtoise_N
Alaincourt_X	alaincourtois_A
Alaincourt_X	alaincourtoise_A
Alairac_X	Alairacois_N
Alairac_X	Alairacoise_N
Alairac_X	Alleyrat_X
Alairac_X	alairacois_A
Alairac_X	alairacoise_A
Alata_X	Alatais_N
Alata_X	Alataise_N
Alata_X	alatais_A
Alava_X	Alavais_X
Alava_X	alavais_X
Albas_X	Albasois_N
Albas_X	Albasoise_N
Albas_X	Albassien_N
Albas_X	Albassienne_N
Albas_X	albasois_A
Albas_X	albasoise_A
Albas_X	albassien_A
Albas_X	albassienne_A
Albens_X	Albanais_N
Albens_X	Albanaise_N
Albens_X	albanais_N
Albertville_X	Albertvillois_N
Albertville_X	Albertvilloise_N
Albertville_X	albertvillois_A
Albertville_X	albertvilloise_A
Albiac_X	Albiacois_N
Albiac_X	Albiacoise_N
Albiac_X	albiacois_A
Albias_X	Albiassain_N
Albias_X	Albiassaine_N
Albias_X	albiassain_A
Albias_X	albiassaine_A
Albigeois_N	albigeois_A
Albignac_X	Albignacois_N
Albignac_X	Albignacoise_N
Albignac_X	albignacois_A
Albignac_X	albignacoise_A
Albières_X	Albiérois_N
Albières_X	Albiéroise_N
Albières_X	albiérois_A
Albières_X	albiéroise_A
Albiès_X	Albiésois_N
Albiès_X	Albiésoise_N
Albiès_X	albiésois_A
Albiès_X	albiésoise_A
Albon_X	Albonnais_N
Albon_X	Albonnaise_N
Albon_X	albonnais_A
Albon_X	albonnaise_A
Alboussière_X	Alboussiérois_N
Alboussière_X	Alboussiéroise_N
Alboussière_X	alboussiérois_A
Alboussière_X	alboussiéroise_A
Albussac_X	Albussacois_N
Albussac_X	Albussacoise_N
Albussac_X	albussacois_A
Albussac_X	albussacoise_A
Albé_X	Albégeois_N
Albé_X	Albégeoise_N
Albé_X	albégeois_A
Albé_X	albégeoise_A
Alcée_N	alcaïque_A
Aldudes_X	Aldulais_N
Aldudes_X	Aldulaise_N
Aldudes_X	aldulais_A
Aldébaran_X	Aldébaranais_N
Aldébaran_X	Aldébaranien_N
Aldébaran_X	Aldébarien_A
Alembon_X	Alembonnais_N
Alembon_X	Alembonnaise_N
Alembon_X	alembonnais_A
Alembon_X	alembonnaise_A
Alençon_X	Alençonnais_N
Alençon_X	Alençonnaise_N
Alençon_X	alençonnais_A
Alençon_X	alençonnaise_A
Alette_X	Alettois_N
Alette_X	Alettoise_N
Alette_X	alettois_A
Alette_X	alettoise_A
Aleu_X	Aleudien_N
Aleu_X	Aleudienne_N
Aleu_X	aleudien_A
Aleu_X	aleudienne_A
Alexain_X	Alexinois_N
Alexain_X	Alexinoise_N
Alexain_X	alexinois_A
Alexain_X	alexinoise_A
Aleyrac_X	Aleyracien_N
Aleyrac_X	Aleyracienne_N
Aleyrac_X	aleyracien_A
Aleyrac_X	aleyracienne_A
Alfortville_X	Alfortvillais_N
Alfortville_X	Alfortvillaise_N
Alfortville_X	alfortvillais_A
Alfortville_X	alfortvillaise_A
Algajola_X	Algajolais_N
Algajola_X	Algajolaise_N
Algajola_X	algajolais_A
Algajola_X	algajolaise_A
Algans_X	Alganois_N
Algans_X	Alganoise_N
Algans_X	alganois_A
Algans_X	alganoise_A
Algol_X	Algolien_X
Algol_X	algolien_X
Algolsheim_X	Algolsheimois_N
Algolsheim_X	Algolsheimoise_N
Algolsheim_X	algolsheimois_A
Algonquins_X	algique_A
Algonquins_X	algonkien_A
Algonquins_X	algonquien_A
Algrange_X	Algrangeois_N
Algrange_X	Algrangeoise_N
Algrange_X	algrangeois_A
Algrange_X	algrangeoise_A
Algérie_X	Algérien_N
Algérie_X	Algérienne_N
Algérie_X	algérien_A
Algérien_N	Algérie_X
Algérien_N	algérien_A
Algérienne_N	Algérie_X
Algérienne_N	algérien_A
Alibert_X	alibertin_X
Alincourt_X	Alincourtois_N
Alincourt_X	Alincourtoise_N
Alincourt_X	alincourtois_A
Alincourt_X	alincourtoise_A
Alincthun_X	Alincthunois_N
Alincthun_X	Alincthunoise_N
Alincthun_X	alincthunois_A
Alincthun_X	alincthunoise_A
Alissas_X	Alissain_N
Alissas_X	Alissaine_N
Alissas_X	alissain_A
Alissas_X	alissaine_A
Alix_N	Adélaïde_N
Alix_N	Alice_X
Alix_N	Alixois_N
Alix_N	Alixoise_N
Alix_N	alixois_A
Alix_N	alixoise_A
Alixan_X	Alixanais_N
Alixan_X	Alixanaise_N
Alixan_X	alixanais_A
Alixan_X	alixanaise_A
Alizay_X	Alizéen_N
Alizay_X	Alizéenne_N
Alizay_X	alizéen_A
Alizay_X	alizéenne_A
Aliénor_N	Éléonore_N
Allaines_X	Allainois_N
Allaines_X	Allainoise_N
Allaines_X	allainois_A
Allaines_X	allainoise_A
Allainville_X	Allainvillois_N
Allainville_X	Allainvilloise_N
Allainville_X	allainvillois_A
Allaire_X	Allairien_N
